timestamp_utc,symbol,session,direction,action,price,qty,sl,tp,risk_per_unit,fee_r,order_id,equity_before,equity_after,notes
2026-02-16 00:10:09,MYX/USDT:USDT,asia,short,ENTRY,2.10700000,565.000000,2.14500000,1.72700000,0.03800000,0.0222,11673522-ff18-46df-996d-1eae8fffa99e,1074.47,,fc_high=2.169 fc_low=2.121 SMART_TP
2026-02-16 00:16:45,TRUST/USDT:USDT,asia,long,EXIT,0.07969000,22384.000000,,,,,702868ef-d454-4995-8b65-1b63568da2b8,,1073.34,WIN
2026-02-16 00:39:50,BREV/USDT:USDT,asia,long,EXIT,0.13931000,11370.000000,,,,,18faacd3-cb0c-4129-8f77-3225c594ec71,,1050.19,LOSS
2026-02-16 00:45:20,CLO/USDT:USDT,asia,long,EXIT,0.06830000,32559.000000,,,,,989a3986-114a-4753-9a56-ab9dab36530d,,1014.61,LOSS
2026-02-16 00:46:08,MYX/USDT:USDT,asia,short,EXIT,2.03500000,565.000000,,,,,11673522-ff18-46df-996d-1eae8fffa99e,,1051.25,WIN
2026-02-16 00:51:40,FHE/USDT:USDT,asia,long,EXIT,0.04499000,23614.000000,,,,,75d8e1d7-0407-44e3-b7b4-8f1696188779,,1026.90,LOSS
2026-02-16 01:05:07,CYS/USDT:USDT,asia,long,EXIT,0.50240000,3837.000000,,,,,2cc60901-160b-4a2e-b00d-a6ba3216a3b3,,1005.37,LOSS
2026-02-16 08:10:03,HANA/USDT:USDT,london,short,ENTRY,0.03980300,70610.000000,0.04009700,0.03685800,0.00029450,0.0541,a736b461-142c-42db-813a-601605039428,1039.85,,fc_high=0.04022 fc_low=0.039975 TRAIL_v3
2026-02-16 08:10:04,MYX/USDT:USDT,london,long,ENTRY,1.95600000,1386.000000,1.94100000,2.10600000,0.01500000,0.0522,39f7a1eb-d214-4894-a83c-84164dc24c6b,1039.85,,fc_high=1.955 fc_low=1.927 TRAIL_v3
2026-02-16 08:10:06,WHITEWHALE/USDT:USDT,london,short,ENTRY,0.08725000,19430.000000,0.08832000,0.07655000,0.00107000,0.0326,56f7717f-7580-44ad-8b23-b2c45e7c79d3,1039.85,,fc_high=0.08873 fc_low=0.08791 TRAIL_v3
2026-02-16 08:18:04,MYX/USDT:USDT,london,long,EXIT,1.94700000,1386.000000,,,,,39f7a1eb-d214-4894-a83c-84164dc24c6b,,1015.73,LOSS
2026-02-16 08:18:51,HANA/USDT:USDT,london,short,EXIT,0.03992400,70610.000000,,,,,a736b461-142c-42db-813a-601605039428,,998.24,LOSS
2026-02-16 08:20:54,WHITEWHALE/USDT:USDT,london,short,EXIT,0.08610000,19430.000000,,,,,56f7717f-7580-44ad-8b23-b2c45e7c79d3,,1014.67,WIN
2026-02-16 16:10:05,ZKP/USDT:USDT,ny,long,ENTRY,0.09244000,72737.000000,0.09215000,0.09534000,0.00029000,0.1275,3c08d4fc-3621-4112-afec-e017017dc79c,1054.70,,fc_high=0.09237 fc_low=0.09193 TRAIL_v3
2026-02-16 16:10:10,STBL/USDT:USDT,ny,long,ENTRY,0.04029000,52083.000000,0.03989000,0.04434000,0.00040500,0.0398,963ebace-dbfd-46f7-be5a-a4989aa0083d,1054.70,,fc_high=0.03995 fc_low=0.03982 TRAIL_v3
2026-02-16 16:17:31,ZKP/USDT:USDT,ny,long,EXIT,0.09215000,72737.000000,,,,,3c08d4fc-3621-4112-afec-e017017dc79c,,1005.71,LOSS
2026-02-16 17:36:06,STBL/USDT:USDT,ny,long,EXIT,0.04061000,52083.000000,,,,,963ebace-dbfd-46f7-be5a-a4989aa0083d,,1013.79,WIN
2026-02-17 00:10:03,CYS/USDT:USDT,asia,short,ENTRY,0.52440000,7875.000000,0.52690000,0.49990000,0.00245000,0.0856,c1b2c6c2-e45f-4524-ad5d-c05ea21def4e,964.70,,fc_high=0.5281 fc_low=0.5256 TRAIL_v3
2026-02-17 00:10:07,MYX/USDT:USDT,asia,short,ENTRY,1.89000000,1607.000000,1.90200000,1.77000000,0.01200000,0.0630,14747cec-a5e8-429a-a3a3-2e2c23622db2,964.70,,fc_high=1.908 fc_low=1.896 TRAIL_v3
2026-02-17 00:19:25,MYX/USDT:USDT,asia,short,EXIT,1.86800000,1607.000000,,,,,14747cec-a5e8-429a-a3a3-2e2c23622db2,,958.07,WIN
